title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Star Trek: Insurrection,movie,"Action, Adventure, Sci-Fi",1998,tt0120844,6.4,80783,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Star Trek: Nemesis,movie,"Action, Adventure, Sci-Fi",2002,tt0253754,6.4,85330,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Mean Streets,movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,122788,DE
The Wages of Fear,movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,69151,GB
North by Northwest,movie,"Adventure, Drama, Mystery",1959,tt0053125,8.3,357044,CA
Saw III,movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,218812,"BR, CL, CO, IN, MX"
Saw II,movie,"Horror, Mystery",2005,tt0432348,6.6,284676,"BR, CL, CO, IN, MX"
Ali: Fear Eats the Soul,movie,"Drama, Romance",1974,tt0071141,8,24683,"DE, GB"
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008,tt0367882,6.2,499423,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,109280,DE
The Outsiders,movie,"Crime, Drama",1983,tt0086066,7,102343,"DE, GB"
Muriel's Wedding,movie,"Comedy, Drama",1994,tt0110598,7.2,43189,DE
The Godfather,movie,"Crime, Drama",1972,tt0068646,9.2,2087913,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Some Like It Hot,movie,"Comedy, Music, Romance",1959,tt0053291,8.2,291157,BR
The Godfather Part II,movie,"Crime, Drama",1974,tt0071562,9,1408148,"AT, AU, CA, CH, DE, FR, GB, IE, IT, US"
Natural Born Killers,movie,"Crime, Romance",1994,tt0110632,7.2,257614,DE
The Godfather Part III,movie,"Crime, Drama",1990,tt0099674,7.6,434608,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
King Kong,movie,"Adventure, Horror",1933,tt0024216,7.9,92914,DE
About a Boy,movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,194783,AU
In China They Eat Dogs,movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23494,DE
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,244439,"AT, CA, CH, DE, FR, GB, IE, US"
King Kong,movie,"Action, Adventure, Romance",2005,tt0360717,7.2,455426,"AU, US"
Stolen Kisses,movie,"Comedy, Drama, Romance",1968,tt0062695,7.5,15678,"DE, GB"
Antoine and Colette,movie,"Comedy, Drama, Romance",1962,tt1180329,7.5,6663,DE
Bed & Board,movie,"Comedy, Drama, Romance",1970,tt0065651,7.4,10954,"DE, GB"
Love on the Run,movie,"Comedy, Drama, Romance",1979,tt0078771,7,7733,"DE, GB"
The King of Comedy,movie,"Comedy, Crime, Drama",1982,tt0085794,7.8,124169,DE
Live Flesh,movie,Drama,1997,tt0118819,7.3,34484,DE
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,90163,"DE, GB"
The Silence of the Lambs,movie,"Crime, Drama, Thriller",1991,tt0102926,8.6,1606181,"BR, CL, CO, MX"
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1214404,"GB, US"
The Apartment,movie,"Comedy, Drama, Romance",1960,tt0053604,8.3,205163,BR
Bull Durham,movie,"Comedy, Romance, Sport",1988,tt0094812,7,60976,"CL, CO, MX"
Swimming Pool,movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49391,"AT, CH, DE, FR"
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994,tt0109254,5.5,96633,"AR, AT, BO, BR, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,31001,GB
The Celebration,movie,Drama,1998,tt0154420,8,96355,DE
Once Upon a Time in America,movie,"Crime, Drama",1984,tt0087843,8.3,389714,US
Snow Cake,movie,"Drama, Romance",2006,tt0448124,7.4,13498,US
The Million Dollar Hotel,movie,"Drama, Mystery, Thriller",2000,tt0120753,5.7,22743,"DE, US"
Insomnia,movie,"Drama, Mystery, Thriller",2002,tt0278504,7.2,326399,US
Snakes on a Plane,movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146476,"CA, US"
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1101649,"AU, US"
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,454012,"AU, US"
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,348554,"AU, US"
Bollywood/Hollywood,movie,"Comedy, Drama, Musical",2002,tt0303785,5.9,2594,CA
Magnolia,movie,Drama,1999,tt0175880,8,335150,US
"Duck, You Sucker!",movie,"Drama, War, Western",1971,tt0067140,7.6,38948,BR
Night on Earth,movie,"Comedy, Drama",1991,tt0102536,7.7,67908,DE
Seven Samurai,movie,"Action, Drama",1954,tt0047478,8.6,379051,GB
Head-On,movie,"Drama, Romance",2004,tt0347048,7.9,58851,DE
To Catch a Thief,movie,"Mystery, Romance, Thriller",1955,tt0048728,7.4,82547,"DE, US"
Das Boot,movie,"Drama, War",1981,tt0082096,8.4,274630,GB
Inside Man,movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,407358,"AU, US"
Lisbon Story,movie,"Drama, Music",1994,tt0110361,7.1,5576,DE
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,205364,US
Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004,tt0378194,8,827722,"BR, CL, CO, MX"
Capote,movie,"Biography, Crime, Drama",2005,tt0379725,7.3,143660,"BR, CL, CO, MX"
Basic Instinct,movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,227182,GB
The Straight Story,movie,"Biography, Drama",1999,tt0166896,8,100325,DE
La haine,movie,"Crime, Drama",1995,tt0113247,8.1,206687,GB
The English Patient,movie,"Drama, Romance, War",1996,tt0116209,7.4,207028,US
8½,movie,Drama,1963,tt0056801,8,127958,GB
The Pianist,movie,"Biography, Drama, Music",2002,tt0253474,8.5,950129,"BR, CL, CO, DE, GB, MX"
My Uncle,movie,Comedy,1958,tt0050706,7.7,24834,DE
Cube,movie,"Horror, Mystery, Sci-Fi",1997,tt0123755,7.1,253230,IN
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,491395,US
Cube²: Hypercube,movie,"Horror, Mystery, Sci-Fi",2002,tt0285492,5.5,71466,IN
La Dolce Vita,movie,"Comedy, Drama",1960,tt0053779,8,81113,DE
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,87188,GB
Leaving Las Vegas,movie,"Drama, Romance",1995,tt0113627,7.5,138791,DE
The Idiots,movie,"Comedy, Drama",1998,tt0154421,6.7,34706,DE
A Beautiful Mind,movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1010918,"AT, FR, GB, IE, IT"
As It Is in Heaven,movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18564,DE
Stranger Than Paradise,movie,"Comedy, Drama",1984,tt0088184,7.4,41582,DE
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,82007,US
Good Will Hunting,movie,"Drama, Romance",1997,tt0119217,8.3,1115195,"AU, DE, US"
The Seventh Seal,movie,"Drama, Fantasy",1957,tt0050976,8.1,205026,"DE, GB"
The Green Mile,movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1460291,AU
Cléo from 5 to 7,movie,"Comedy, Drama, Music",1962,tt0055852,7.8,28797,GB
Reservoir Dogs,movie,"Crime, Thriller",1992,tt0105236,8.3,1118991,"BR, CL, CO, IN, MX"
Love Actually,movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,554528,AU
Notting Hill,movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,357804,AU
Requiem,movie,"Drama, Horror",2006,tt0454931,6.8,6559,US
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,582632,"AU, DE"
The Blues Brothers,movie,"Adventure, Comedy, Crime",1980,tt0080455,7.9,219651,AU
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,61214,"AR, AT, BO, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,742706,AU
There's Something About Mary,movie,"Comedy, Romance",1998,tt0129387,7.1,336024,US
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,186725,GB
The Poseidon Adventure,movie,"Action, Adventure, Drama",1972,tt0069113,7.1,50603,US
The Mummy,movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,476031,AU
The Ring,movie,"Horror, Mystery",2002,tt0298130,7.1,385568,IT
Apollo 13,movie,"Adventure, Drama, History",1995,tt0112384,7.7,323074,AU
The Birds,movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,210940,AU
Jaws,movie,"Adventure, Drama, Horror",1975,tt0073195,8.1,684407,AU
Jaws: The Revenge,movie,"Adventure, Horror, Thriller",1987,tt0093300,3,50982,AU
