title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Il 7 e l'8,movie,Comedy,2007,tt0999864,6.4,2447,IT
The Boy Who Cried Werewolf,movie,"Comedy, Drama, Family",2010,tt1451423,5.9,4032,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Xcuse Me,movie,Comedy,2003,tt0383719,5.8,997,IN
The Baby-Sitters Club,movie,"Comedy, Drama, Family",1995,tt0112435,5.7,6696,US
Certified Copy,movie,"Drama, Romance",2010,tt1020773,7.2,27637,US
The Canterville Ghost,movie,"Drama, Family, Fantasy",1996,tt0115820,6.2,2978,US
Kidnapped,movie,"Action, Horror, Thriller",2010,tt1629377,6.4,8703,"CA, US"
Hashar: A Love Story...,movie,Romance,2008,tt1478275,7.2,403,"AU, IN, US"
Heer Ranjha: A True Love Story,movie,Romance,2009,tt1599302,7.2,108,"IN, US"
A Self-Made Hero,movie,"Comedy, Drama",1996,tt0118020,7.2,3373,DE
The Mighty Macs,movie,"Drama, Sport",2009,tt1034324,6.6,1920,US
Room in Rome,movie,"Drama, Romance",2010,tt1263750,6,27013,US
Assassination,movie,"Action, Drama, Romance",1987,tt0092585,5.2,3819,US
Karbid und Sauerampfer,movie,Comedy,1963,tt0057220,7.2,318,DE
Jekyll and Hyde,movie,"Horror, Thriller",1990,tt0099875,6.1,1415,"CA, US"
Annamalai,movie,"Comedy, Drama, Musical",1992,tt0139859,7.7,2497,"IN, US"
Sivakaasi,movie,"Drama, Action",2005,tt0455767,5.8,3827,"IN, US"
Vasoolraja M.B.B.S,movie,"Comedy, Drama",2004,tt0423470,7.9,4005,US
Mute Witness,movie,"Crime, Horror, Thriller",1995,tt0110604,6.7,7454,"AU, CA, US"
My Night at Maud's,movie,"Comedy, Drama, Romance",1969,tt0064612,7.8,15125,DE
London Boulevard,movie,"Crime, Drama",2010,tt1213648,6.2,50931,"AR, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, VE"
Black Heaven,movie,"Drama, Thriller",2010,tt1479269,5.5,2182,US
Submarine,movie,"Comedy, Drama, Romance",2010,tt1440292,7.3,98089,CA
Saamy,movie,"Action, Drama",2003,tt0376144,7.3,2448,US
Iruvar,movie,"Biography, Drama",1997,tt0119385,8.4,7573,"IN, US"
The Bourne Legacy,movie,"Action, Adventure, Thriller",2012,tt1194173,6.6,320268,"AU, US"
The Hobbit: An Unexpected Journey,movie,"Adventure, Fantasy",2012,tt0903624,7.8,894510,"BR, CL, CO, MX"
The Trial,movie,"Crime, Drama, Mystery",2010,tt1264115,5.6,1783,US
The Smurfs Christmas Special,movie,"Adventure, Animation, Comedy",1982,tt1177949,6.3,416,US
A Tale of Two Cities,movie,"Drama, History, Romance",1980,tt0081595,6.6,1068,US
Annie Leibovitz: Life Through a Lens,movie,"Biography, Documentary, History",2006,tt0887304,7.4,566,DE
Dream Demon,movie,Horror,1988,tt0095063,5.6,1586,"CA, US"
Siste trikk,movie,,2024,,,,"DE, GB"
The Groomsmen: First Look,movie,"Comedy, Family, Romance",2024,tt32915102,6.1,329,US
Ordinary Angels,movie,"Biography, Drama",2024,tt4996328,7.4,14270,US
The Super Mario Bros. Movie,movie,"Adventure, Animation, Comedy",2023,tt6718170,7,257700,AU
Where's My Roy Cohn?,movie,Documentary,2019,tt7193362,7,1292,CA
Blitz,movie,"Action, Drama, History",2024,tt15939198,6.2,13123,"AE, AG, AR, AT, AU, AZ, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CV, CY, CZ, DE, DK, DO, EC, EE, EG, ES, FI, FJ, FR, GB, GH, GR, GT, HK, HN, HU, ID, IE, IL, IN, IT, JO, JP, KR, LB, LT, LU, LV, MD, MT, MU, MX, MY, MZ, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RU, SA, SE, SG, SI, SK, SV, TH, TT, TW, UA, UG, US, VE, ZA"
Poolman,movie,"Comedy, Mystery",2023,tt18077924,4,2422,IN
Ezra,movie,"Comedy, Drama",2023,tt20315818,6.5,4148,US
Transformers One,movie,"Action, Adventure, Animation",2024,tt8864596,7.6,41728,"CA, US"
Woman of the Hour,movie,"Crime, Drama, Mystery",2023,tt7737800,6.6,52658,IN
When Evil Lurks,movie,Horror,2023,tt16300962,6.9,48075,"AU, CA, US"
Sing,movie,"Animation, Comedy, Family",2016,tt3470600,7.1,199522,AU
The Age of Adaline,movie,"Drama, Fantasy, Romance",2015,tt1655441,7.2,215077,US
Cream of the Crop,movie,Drama,2022,tt14406418,5.2,141,US
Sugar Hill,movie,"Action, Crime, Horror",1974,tt0072225,5.8,2397,"CA, US"
Sinister,movie,"Horror, Mystery, Thriller",2012,tt1922777,6.8,294060,"BR, CL, CO, MX"
Apartment 7A,movie,"Horror, Thriller",2024,tt14371860,5.8,13735,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Gatlopp,movie,"Comedy, Drama, Horror",2022,tt11615616,5.9,1817,CA
We Need to Talk About Kevin,movie,"Drama, Mystery, Thriller",2011,tt1242460,7.5,172667,CA
Late Night with the Devil,movie,Horror,2023,tt14966898,7,111478,"AU, CA, IN, US"
Hollow Point,movie,"Action, Thriller",2019,tt8648640,4.2,883,"AR, BR, CL, CO, MX"
Transformers: Age of Extinction,movie,"Action, Adventure, Sci-Fi",2014,tt2109248,5.6,337909,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Deep End,movie,"Comedy, Drama, Romance",1970,tt0066122,7.2,7868,GB
The Woman in Black,movie,"Drama, Fantasy, Horror",2012,tt1596365,6.4,195626,"CA, US"
Rare Objects,movie,Drama,2023,tt15836468,5.3,582,US
Magic Mike,movie,"Comedy, Drama, Music",2012,tt1915581,6.1,149413,"BR, CL, CO, MX"
Jack Reacher,movie,"Action, Thriller",2012,tt0790724,7,375352,"AT, AU, CA, CH, DE, FR, GB, IE, IT, US"
Pixels,movie,"Action, Comedy, Fantasy",2015,tt2120120,5.6,166572,US
Sicario: Day of the Soldado,movie,"Action, Crime, Drama",2018,tt5052474,7.1,175185,"CA, IN"
Sicario,movie,"Action, Crime, Drama",2015,tt3397884,7.7,497209,"AU, BR, CA, CL, CO, DE, IN, MX"
La La Land,movie,"Comedy, Drama, Music",2016,tt3783958,8,704679,DE
Bridget Jones's Baby,movie,"Comedy, Drama, Romance",2016,tt1473832,6.4,84628,AU
Little Spirou,movie,"Comedy, Family",2017,tt6194538,4.8,485,DE
The Giant King,movie,"Animation, Comedy, Family",2012,tt2630526,5.6,425,US
Olympic Dreams,movie,"Comedy, Romance, Sport",2019,tt8964214,5.8,783,"CA, US"
Ip Man: Kung Fu Master,movie,Action,2019,tt12567246,4.6,1273,IN
Small Town Crime,movie,"Crime, Mystery, Thriller",2017,tt5751998,6.6,12883,US
Midway,movie,"Action, Drama, History",2019,tt6924650,6.7,98555,"IN, IT"
Raze,movie,"Action, Drama, Horror",2013,tt2111392,5.1,6521,"CA, US"
Blind Date Book Club,movie,"Comedy, Romance",2024,tt30505839,6.6,1117,US
Taken from Me: The Tiffany Rubin Story,movie,Drama,2011,tt1707825,6.2,930,US
The Guest,movie,"Action, Mystery, Thriller",2014,tt2980592,6.7,110470,CA
True History of the Kelly Gang,movie,"Action, Biography, Crime",2019,tt4844140,6,13733,"CA, US"
Mystic Christmas,movie,Romance,2023,tt27813285,6.3,1194,US
Bloody Milk,movie,"Crime, Drama, Thriller",2017,tt6805302,7,1789,DE
In the Land of Saints and Sinners,movie,"Action, Crime, Thriller",2023,tt15782690,6.3,23686,IN
The History of Love,movie,"Drama, Romance, War",2016,tt0443533,6.3,1564,"BR, CL, CO, MX"
Cold Meat,movie,Thriller,2023,tt17067574,5.3,2211,"GB, IE"
Raja Nanna Raja,movie,"Romance, Drama, Family",1976,tt1369559,8.7,72,"IN, US"
John Wick,movie,"Action, Crime, Thriller",2014,tt2911666,7.4,766718,IN
Jericho Ridge,movie,"Action, Thriller",2023,tt18313356,6,1267,US
Full Speed,movie,"Action, Comedy",2016,tt4993964,5.8,3840,"AR, BR, CL, CO, MX"
Legal Action,movie,"Action, Crime, Drama",2018,tt7656570,5.9,603,US
Impractical Jokers: The Movie,movie,Comedy,2020,tt9208444,5.7,7470,AU
The Legend of 5 Mile Cave,movie,Western,2019,tt9021234,6.2,1066,US
Christmas on the Range,movie,"Romance, Western",2019,tt10808294,6.3,860,US
The Standoff,movie,Comedy,2016,tt4549224,5.3,1185,US
The Warrant,movie,"Action, Adventure, Crime",2020,tt10880084,4.8,913,US
Blue Ridge,movie,"Action, Mystery, Thriller",2020,tt11695190,5.7,931,US
Miss Sloane,movie,Drama,2016,tt4540710,7.5,85140,"IN, US"
Badavara Bandhu,movie,"Family, Drama",1976,tt1399165,9.1,60,"IN, US"
Christmas in the Pines,movie,Romance,2021,tt13401252,6.3,651,US
Far Haven,movie,Western,2023,tt23647954,5.8,373,US
The Big Trip,movie,"Adventure, Animation, Comedy",2019,tt7403614,4.8,1533,US
Cecil,movie,"Comedy, Family",2019,tt2709962,3.7,182,US
Exhuma,movie,"Drama, Horror, Mystery",2024,tt27802490,6.9,20424,"CA, US"
Greedy People,movie,"Comedy, Crime",2024,tt20201748,6.2,8793,IN
Breathe without Water,movie,,2024,,,,AU
Sonic the Hedgehog,movie,"Action, Adventure, Comedy",2020,tt3794354,6.5,172630,"AT, AU, CA, CH, DE, FR, GB, IE, IT, US"
IF,movie,"Animation, Comedy, Drama",2024,tt11152168,6.4,53532,"AR, AT, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, GB, GT, HN, IE, MX, NI, PA, PE, PY, SV, US, VE"
The Last Letter from Your Lover,movie,"Drama, Romance",2021,tt1893273,6.7,23632,FR
Revenge,movie,"Action, Drama, Horror",2017,tt6738136,6.4,55912,"AU, CA, US"
Hungry Hearts,movie,"Drama, Romance, Thriller",2014,tt3344922,6.5,6059,US
El Arte De La Guerra,movie,,2024,,,,BR
The Ministry of Ungentlemanly Warfare,movie,"Action, Comedy, War",2024,tt5177120,6.8,124513,US
Acid,movie,"Drama, Sci-Fi",2023,tt17569526,5.1,2466,"AR, BR, CL, CO, MX"
V/H/S/Beyond,movie,"Horror, Sci-Fi, Thriller",2024,tt32880932,5.9,8264,"AU, CA, US"
Swallowed,movie,"Horror, Thriller",2022,tt14960854,5.3,3261,"AU, CA"
Satan's Slaves 2: Communion,movie,"Drama, Horror, Mystery",2022,tt16915972,6.7,4351,"AU, CA, US"
Lady Bird,movie,"Comedy, Drama",2017,tt4925292,7.4,346056,AU
Blockers,movie,"Comedy, Drama",2018,tt2531344,6.2,88564,AU
Knight of Cups,movie,"Drama, Fantasy, Romance",2015,tt2101383,5.6,30216,"CA, DE, GB"
Silver Haze,movie,Drama,2023,tt16311464,6.2,973,GB
The Oracle,movie,"Comedy, Drama",2024,,,,CA
Haunted Wedding,movie,"Comedy, Fantasy, Romance",2024,tt32660113,6.3,625,US
Khiladi 786,movie,"Action, Comedy, Romance",2012,tt2166214,4.4,8182,"AU, IN, US"
Harry: The Interview,movie,"Documentary, News",2023,tt25795782,5.3,307,CA
Pacific Rim,movie,"Action, Adventure, Sci-Fi",2013,tt1663662,6.9,541201,CA
The Real Charlie Chaplin,movie,"Biography, Documentary",2021,tt10193752,7.3,1911,US
Speak No Evil,movie,"Drama, Horror, Mystery",2022,tt14253846,6.6,54974,"CA, ES, US"
The Redemption of Henry Myers,movie,Western,2014,tt2175016,6.4,478,US
Lady Macbeth,movie,"Drama, Romance",2016,tt4291600,6.8,28315,"CA, GB, US"
Chronicle Mysteries: Recovered,movie,"Crime, Mystery",2019,tt8305372,6.9,1072,US
Wind River,movie,"Crime, Drama, Mystery",2017,tt5362988,7.7,291357,"AR, BR, CA, CL, CO, MX"
A Christmas Switch,movie,"Comedy, Drama, Family",2018,tt9154566,6,1296,US
Teenage Millionaire,movie,"Comedy, Musical",1961,tt0056563,4.5,131,US
Uncharted,movie,Documentary,2023,tt27554611,7.3,25,"AT, CH, DE, GB, IE"
The Dead Don't Hurt,movie,"Drama, Western",2023,tt22773644,6.4,7362,"GB, IE, US"
Daddy's Head,movie,Horror,2024,tt26682012,5.6,3892,"AU, CA, US"
Clean Up Crew,movie,Documentary,2021,,,,"GB, US"
Star Wars: Episode VII - The Force Awakens,movie,"Action, Adventure, Sci-Fi",2015,tt2488496,7.8,991019,US
So Undercover,movie,"Action, Adventure, Comedy",2012,tt1766094,5,21538,"AR, BR, CL, CO, MX"
Little Fish,movie,"Drama, Romance, Sci-Fi",2020,tt9735470,6.9,7759,CA
Little Italy,movie,"Comedy, Romance",2018,tt6957966,5.7,18515,AU
Non-Fiction,movie,"Comedy, Drama, Romance",2018,tt7250056,6.4,5939,US
I Remember You,movie,"Drama, Horror, Mystery",2017,tt4966532,6.1,5418,"AR, BR, CA, CL, CO, MX, US"
The Big Short,movie,"Biography, Comedy, Drama",2015,tt1596363,7.8,501885,CA
The Last of the Sea Women,movie,Documentary,2024,tt14093994,7,523,"AE, AG, AR, AT, AU, AZ, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CV, CY, CZ, DE, DK, DO, EC, EE, EG, ES, FI, FJ, FR, GB, GH, GR, GT, HK, HN, HU, ID, IE, IL, IN, IT, JO, JP, KR, LB, LT, LU, LV, MD, MT, MU, MX, MY, MZ, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RU, SA, SE, SG, SI, SK, SV, TH, TT, TW, UA, UG, US, VE, ZA"
Golda,movie,"Biography, Drama, History",2023,tt14454876,5.9,13750,"IN, US"
Camp Pleasant Lake,movie,Horror,2024,tt20864606,3.3,2331,US
Gauguin: Voyage to Tahiti,movie,"Biography, Drama, Romance",2017,tt6330052,6,2460,DE
Past Lives,movie,"Drama, Romance",2023,tt13238346,7.8,142640,"IN, US"
The Ritual Killer,movie,"Crime, Mystery, Thriller",2023,tt13141250,4.3,8244,CA
About My Father,movie,Comedy,2023,tt8373206,5.7,15042,"IN, US"
Beauty and the Beast,movie,"Drama, Family, Fantasy",2014,tt2316801,6.4,23151,"AR, BR, CL, CO, FR, MX"
Legend,movie,"Biography, Crime, Drama",2015,tt3569230,6.9,210386,"AU, DE, IN"
This Is Christmas,movie,"Comedy, Drama, Romance",2022,tt22302170,7,3728,BR
Babylon,movie,"Comedy, Drama, History",2022,tt10640346,7.1,187136,"AR, BO, CL, CO, CR, DO, EC, GB, GT, HN, IE, MX, NI, PA, PE, PY, SV, VE"
Thelma,movie,"Action, Comedy",2024,tt23778968,7,18334,CA
Curious Caterer: Forbidden Fruit,movie,"Crime, Mystery",2024,tt32992598,7,474,US
"I am Ready, Warden",movie,"Documentary, Short",2024,tt31556921,6.6,83,US
Bohemian Rhapsody,movie,"Biography, Drama, Music",2018,tt1727824,7.9,613554,DE
All the Devil's Men,movie,"Action, Thriller",2018,tt6012244,5.1,3686,"AR, BR, CL, CO, MX, US"
The Call of the Wild,movie,Adventure,1976,tt0074270,6.1,173,US
The Many Worlds of Quantum Mechanics,movie,Documentary,2019,,,,"GB, US"
Don't. Get. Out!,movie,"Action, Crime, Drama",2018,tt6686700,5.8,2026,DE
Christmas Presence,movie,"Comedy, Horror",2018,tt6998650,3.9,615,"CA, ES, US"
Starve Acre,movie,"Drama, Horror",2023,tt17521612,5.4,3555,GB
Time for Them to Come Home for Christmas,movie,"Comedy, Drama, Romance",2021,tt16047670,7.2,1995,US
Resident Evil: Welcome to Raccoon City,movie,"Action, Horror, Sci-Fi",2021,tt6920084,5.2,67221,US
Scream VI,movie,"Horror, Mystery, Thriller",2023,tt17663992,6.4,132589,"AR, AU, BO, CA, CL, CO, CR, DO, EC, FR, GT, HN, IE, MX, NI, PA, PE, PY, SV, US, VE"
Whiplash,movie,"Drama, Music",2014,tt2582802,8.5,1045300,CA
God & Salsa,movie,Drama,2022,tt12362542,7.2,53,US
Keep an Eye Out,movie,Comedy,2018,tt7156222,6.7,5736,"AR, BR, CL, CO, MX"
Reality,movie,Comedy,2014,tt2392672,6.9,7298,US
Wrong Cops,movie,"Comedy, Crime",2013,tt2166616,5.9,8460,CA
Midnight,movie,"Crime, Thriller",2021,tt14757872,6.5,8593,IN
Dario Argento: Panico,movie,"Biography, Documentary, Horror",2023,tt27728888,6.7,561,"AU, CA, US"
First Shift,movie,"Crime, Drama",2024,tt26434746,4.3,1801,US
Shaun the Sheep Movie,movie,"Adventure, Animation, Comedy",2015,tt2872750,7.3,44656,US
Terrifier 2,movie,Horror,2022,tt10403420,6.1,69221,"AU, GB, IE"
Clawfoot,movie,"Comedy, Thriller",2023,tt22175098,4.8,509,US
The Lesser Blessed,movie,Drama,2012,tt2056740,6.1,687,CA
Azrael,movie,"Action, Horror",2024,tt22173666,5.4,8370,"AU, CA, US"
The Retirement Plan,movie,"Action, Comedy, Crime",2023,tt14827638,5.1,8996,"GB, IE"
Hell or High Water,movie,"Crime, Drama, Thriller",2016,tt2582782,7.6,261109,"AR, BR, CL, CO, GB, MX"
Ambulance,movie,"Action, Crime, Drama",2022,tt4998632,6.1,105879,"AU, US"
'Twas the Date Before Christmas,movie,Romance,2024,tt33503181,7.1,1226,US
Mothers' Instinct,movie,"Drama, Thriller",2024,tt13397574,6.3,17915,IN
Tales from the Hood 2,movie,"Comedy, Crime, Drama",2018,tt8403680,4.4,2404,US
Memory,movie,Drama,2023,tt19864828,6.7,8062,"GB, US"
Meander,movie,"Drama, Horror, Mystery",2020,tt5752192,5.4,11843,FR
The Perks of Being a Wallflower,movie,Drama,2012,tt1659337,7.9,563363,"BR, CL, CO, MX"
The Last Redemption,movie,Adventure,2024,tt31797432,6.3,2306,"AR, BR, CL, CO, MX"
Summer at Charlotte's,movie,Romance,2023,tt21158228,5.9,81,US
Blue Is the Warmest Colour,movie,"Drama, Romance",2013,tt2278871,7.7,166981,"FR, US"
Take Me Home Tonight,movie,"Comedy, Drama, Romance",2011,tt0810922,6.3,56345,US
Though None Go with Me,movie,Drama,2006,tt0499580,6.8,761,US
I.S.S.,movie,"Sci-Fi, Thriller",2023,tt13655120,5.3,11191,US
Split,movie,"Horror, Thriller",2016,tt4972582,7.3,580487,AU
The 355,movie,"Action, Thriller",2022,tt8356942,5.6,39925,IN
The Addams Family 2,movie,"Adventure, Animation, Comedy",2021,tt11125620,5.4,16375,"BR, CL, CO, MX"
A Madea Family Funeral,movie,"Comedy, Drama",2019,tt7054636,4.7,5219,"BR, CL, CO, MX"
Missing Link,movie,"Adventure, Animation, Comedy",2019,tt6348138,6.7,29546,CA
The Room,movie,"Drama, Fantasy, Horror",2019,tt8485364,6,24822,"AU, CA, IN, US"
MadS,movie,"Horror, Thriller",2024,tt28821371,6.5,5363,"AU, CA, US"
Her,movie,"Drama, Romance, Sci-Fi",2013,tt1798709,8,691864,IN
"Like Father, Like Son",movie,Drama,2013,tt2331143,7.8,29258,US
Wolfs,movie,"Crime, Thriller",2024,tt14257582,6.5,69326,"AE, AG, AR, AT, AU, AZ, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CV, CY, CZ, DE, DK, DO, EC, EE, EG, ES, FI, FJ, FR, GB, GH, GR, GT, HK, HN, HU, ID, IE, IL, IN, IT, JO, JP, KR, LB, LT, LU, LV, MD, MT, MU, MX, MY, MZ, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RU, SA, SE, SG, SI, SK, SV, TH, TT, TW, UA, UG, US, VE, ZA"
John Wick: Chapter 4,movie,"Action, Crime, Thriller",2023,tt10366206,7.6,364555,"IN, US"
Shoplifters,movie,"Crime, Drama, Thriller",2018,tt8075192,7.9,90003,CA
Scouting for Christmas,movie,Comedy,2024,tt33428925,6,685,US
Heart for the Holidays,movie,Drama,2023,tt27550984,7.5,57,US
A Quiet Place,movie,"Drama, Horror, Sci-Fi",2018,tt6644200,7.5,618751,"AR, AT, AU, BO, BR, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
A Quiet Place Part II,movie,"Drama, Horror, Sci-Fi",2020,tt8332922,7.2,297108,"CA, FR, US"
The Den,movie,"Horror, Mystery, Thriller",2013,tt2503154,6,15967,"CA, US"
The Revenant,movie,"Action, Adventure, Drama",2015,tt1663202,8,899014,ES
Welcome To The Game,movie,"Drama, Mystery, Crime",2024,,,,DE
Devil's Pass,movie,"Horror, Mystery, Thriller",2013,tt1905040,5.7,28627,"CA, US"
Seven Psychopaths,movie,"Comedy, Crime",2012,tt1931533,7.1,278850,US
Pain & Gain,movie,"Action, Biography, Comedy",2013,tt1980209,6.4,234419,"CA, US"
Arcadian,movie,"Action, Drama, Horror",2024,tt22939186,5.5,20004,"CA, IN, US"
The Cursed,movie,"Fantasy, Horror, Mystery",2021,tt9907782,6.2,19303,CA
El Gringo,movie,"Action, Drama",2012,tt1990216,5.4,6988,"BR, CL, CO, MX, US"
Criminal,movie,"Action, Sci-Fi, Thriller",2016,tt3014866,6.3,72520,"AR, BR, CA, CL, CO, IN, MX"
The Gabby Petito Story,movie,Drama,2022,tt20049600,5.4,825,"GB, IE, US"
Happy Hunting,movie,"Horror, Western",2017,tt5189770,5.1,2924,"AR, BR, CL, CO, MX"
The Assassination Bureau,movie,"Action, Adventure, Comedy",1969,tt0064045,6.4,3542,"AT, CH, DE, FR, GB, IE, IT"
The Bricklayer,movie,"Action, Thriller",2023,tt2016303,5.2,12062,IN
The Devil's Bath,movie,"Drama, History, Horror",2024,tt29141112,6.6,4964,"AU, CA, US"
Sleeping Dogs,movie,"Crime, Mystery, Thriller",2024,tt8542964,6.1,18880,"CA, IN"
Mission: Impossible - Rogue Nation,movie,"Action, Adventure, Thriller",2015,tt2381249,7.4,420527,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, VE"
Fatman,movie,"Action, Adventure, Comedy",2020,tt10310140,5.9,31766,"AR, BR, CL, CO, MX"
Mission: Impossible - Dead Reckoning Part One,movie,"Action, Adventure, Thriller",2023,tt9603212,7.7,273532,"AT, AU, CA, CH, DE, GB, IE, IT, US"
The Iron Sheriff,movie,"Mystery, Western",1957,tt0050547,6,447,US
Momentum,movie,"Action, Crime, Thriller",2015,tt3181776,5.5,17258,US
Kreepaway Kamp,movie,"Animation, Comedy, Mystery",2024,tt33404610,5.6,175,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Bahaddur Gandu,movie,"Family, Drama",1976,tt1369464,8.6,68,"IN, US"
Roy Wood Jr.: No One Loves You,movie,Comedy,2019,tt9740572,7,156,"AU, US"
Wittgenstein,movie,"Biography, Comedy, Drama",1993,tt0108583,6.9,3018,GB
The Perfect Assistant,movie,"Crime, Mystery, Thriller",2008,tt1063336,4.5,978,US
The Perfect Nanny,movie,"Drama, Horror, Mystery",2001,tt0228711,5,633,US
The Perfect Teacher,movie,"Crime, Drama, Thriller",2010,tt1663689,5,1690,US
The Black Demon,movie,"Action, Drama, Horror",2023,tt10279472,3.7,10160,IN
Host,movie,"Horror, Mystery",2020,tt12749596,6.5,43426,"AU, CA, US"
Trail of the Screaming Forehead,movie,"Comedy, Sci-Fi",2007,tt0486665,5.9,941,"CA, US"
Slow West,movie,"Adventure, Drama, Romance",2015,tt3205376,6.9,48669,DE
Candyman,movie,"Horror, Thriller",2021,tt9347730,5.9,78602,"BR, CL, CO, MX"
Teenage Mutant Ninja Turtles: Mutant Mayhem,movie,"Action, Adventure, Animation",2023,tt8589698,7.2,70897,"AT, AU, CA, CH, DE, GB, IE, IT, US"
Scrapper,movie,"Comedy, Drama",2023,tt8649252,6.9,7154,"GB, US"
The Hunted,movie,"Horror, Thriller",2024,tt22493538,5.1,330,US
An Autumn Afternoon,movie,Drama,1962,tt0056444,8,11177,GB
Totem,movie,Drama,2023,tt26315142,7,3537,GB
Boyhood,movie,Drama,2014,tt1065073,7.9,373246,US
There Is No Evil,movie,Drama,2020,tt11697844,7.5,6960,DE
Proud Mary,movie,"Action, Crime, Drama",2018,tt6421110,5,11127,US
Bad Tales,movie,"Drama, Mystery, Thriller",2020,tt8526370,6.4,7202,IT
Puss in Boots: The Last Wish,movie,"Action, Adventure, Animation",2022,tt3915174,7.8,195205,AU
The Assassin,movie,"Action, Drama, History",2015,tt3508840,6.3,18317,GB
Benediction,movie,"Biography, Drama, History",2021,tt6852178,6.6,3969,CA
The Riot Club,movie,"Drama, Thriller",2014,tt2717860,6,24463,"DE, US"
Life,movie,"Horror, Sci-Fi, Thriller",2017,tt5442430,6.6,263623,US
World War Z,movie,"Action, Adventure, Horror",2013,tt0816711,7,743507,"AT, CA, CH, DE, FR, GB, IE, IT, US"
Out of the Blue,movie,"Crime, Drama, Mystery",2022,tt15333788,4.3,1749,US
Hyena Road,movie,"Drama, War",2015,tt4034452,6.5,9387,"AR, BR, CL, CO, MX"
Doc of Chucky,movie,Documentary,2024,tt33546014,7.6,223,"AU, CA, US"
Silence,movie,"Drama, History",2016,tt0490215,7.2,126103,GB
Sakshatkara,movie,Drama,1971,tt0232572,8.2,135,"IN, US"
A Quiet Place: Day One,movie,"Drama, Horror, Sci-Fi",2024,tt13433802,6.3,134255,"AR, BO, BR, CA, CL, CO, CR, DO, EC, GT, HN, IE, MX, NI, PA, PE, PY, SV, US, VE"
Ladybird Ladybird,movie,Drama,1994,tt0110296,7.4,3924,US
A Biltmore Christmas,movie,"Fantasy, Romance",2023,tt24822574,7.7,5877,US
Holiday Hotline,movie,Romance,2023,tt29499210,6.8,1451,US
The Elephant Queen,movie,"Documentary, Family",2018,tt6722976,7.8,2418,"AE, AG, AR, AT, AU, AZ, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CV, CY, CZ, DE, DK, DO, EC, EE, EG, ES, FI, FJ, FR, GB, GH, GR, GT, HK, HN, HU, ID, IE, IL, IN, IT, JO, JP, KR, LB, LT, LU, LV, MD, MT, MU, MX, MY, MZ, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RU, SA, SE, SG, SI, SK, SV, TH, TT, TW, UA, UG, US, VE, ZA"
An Ice Palace Romance,movie,"Comedy, Romance",2023,tt29741889,5.9,522,US
Bring Your Own Brigade,movie,Documentary,2021,tt13646976,7.2,369,US
Our Christmas Mural,movie,"Comedy, Drama, Romance",2023,tt29513309,6.1,795,US
Ride Along,movie,"Action, Comedy, Crime",2014,tt1408253,6.1,125402,CA
Muzzle,movie,"Action, Crime, Thriller",2023,tt17663876,5.5,3989,US
South Park: The Streaming Wars,movie,"Animation, Comedy",2022,tt15783698,6.7,5734,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
American Star,movie,"Drama, Mystery, Thriller",2024,tt19984386,5.5,2248,US
The Ambush,movie,"Action, Drama, War",2021,tt13445076,6.2,2564,IN
The Seventh Stream,movie,"Drama, Fantasy, Romance",2001,tt0299134,6.7,497,US
Madagascar 3: Europe's Most Wanted,movie,"Adventure, Animation, Comedy",2012,tt1277953,6.8,204811,"AU, BR"
The Wolf of Wall Street,movie,"Biography, Comedy, Crime",2013,tt0993846,8.2,1651290,"CA, IN"
